Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean,Unnamed: 0.1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artists_clean,track_name_clean
BTS - No More Dream,1,,69,,1565935,1565935,BTS,No More Dream,bts,no more dream,65542.0,089PFeXotzDLNQz9NCk6pF,BTS,2 Cool 4 Skool,No More Dream,66.0,222066.0,False,0.438,0.864,2.0,-5.185,1.0,0.47,0.0118,1.66e-06,0.431,0.594,167.898,4.0,k-pop,bts,no more dream
The Beatles - She Loves You - Mono / Remastered,5,,140,,466977,1561640,The Beatles,She Loves You - Mono / Remastered,the beatles,she loves you - mono / remastered,11319.0,6nEkxYIEnrbYH7h1hJ8Xn6,The Beatles,1 (Remastered),She Loves You - Mono / Remastered,66.0,140920.0,False,0.377,0.916,4.0,-3.199,0.0,0.0481,0.26,0.0,0.074,0.912,75.533,4.0,british,the beatles,she loves you - mono / remastered
The Strokes - The Adults Are Talking,2,,94,,901463,1559581,The Strokes,The Adults Are Talking,the strokes,the adults are talking,2206.0,5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,The Adults Are Talking,79.0,309053.0,False,0.593,0.749,5.0,-5.67,1.0,0.0475,0.0113,0.106,0.314,0.649,164.959,4.0,alt-rock,the strokes,the adults are talking
Ozzy Osbourne - Bark at the Moon,1,,108,,1549138,1549138,Ozzy Osbourne,Bark at the Moon,ozzy osbourne,bark at the moon,47722.0,2E7W1X4maFFcjHrVrFA7Vs,Ozzy Osbourne,Bark At The Moon (Expanded Edition),Bark at the Moon,67.0,257120.0,False,0.303,0.961,9.0,-5.333,0.0,0.243,0.00253,6.2e-05,0.132,0.305,146.591,4.0,hard-rock,ozzy osbourne,bark at the moon
aespa - Next Level,2,,150,,800397,1548380,aespa,Next Level,aespa,next level,65413.0,2zrhoHlFKxFTRF5aMyxMoQ,aespa,Next Level,Next Level,74.0,221573.0,False,0.82,0.852,11.0,-2.567,0.0,0.166,0.488,5.94e-06,0.0907,0.82,109.036,4.0,k-pop,aespa,next level
Charlie Puth - The Way I Am,2,,125,,855702,1547886,Charlie Puth,The Way I Am,charlie puth,the way i am,20264.0,6BJ98GYC2njuEOqg1y3ss3,Charlie Puth,New Pop Icons,The Way I Am,0.0,186080.0,False,0.755,0.77,10.0,-5.658,0.0,0.187,0.312,2.34e-06,0.0628,0.642,114.965,4.0,dance,charlie puth,the way i am
ENHYPEN - Blessed-Cursed,2,,179,,772332,1541870,ENHYPEN,Blessed-Cursed,enhypen,blessed-cursed,5043.0,7ecbsiAQ6PNdiAq0hplVZo,ENHYPEN,DIMENSION : ANSWER,Blessed-Cursed,71.0,170805.0,False,0.604,0.886,4.0,-3.523,0.0,0.061,0.0925,0.0,0.596,0.401,127.098,4.0,anime,enhypen,blessed-cursed
Linkin Park - Breaking The Habit,2,,83,,1002207,1540458,Linkin Park,Breaking The Habit,linkin park,breaking the habit,3362.0,3dxiWIBVJRlqh9xk144rf4,Linkin Park,Meteora (Bonus Edition),Breaking the Habit,71.0,196906.0,False,0.579,0.849,4.0,-5.218,0.0,0.0303,0.108,0.0,0.0909,0.581,100.021,4.0,alternative,linkin park,breaking the habit
Stray Kids - DOMINO,2,,142,,814210,1518431,Stray Kids,DOMINO,stray kids,domino,65823.0,6Ib6RkvLBMD85bov85apSL,Stray Kids,NOEASY,DOMINO,70.0,198720.0,False,0.687,0.866,7.0,-2.01,1.0,0.0466,0.0301,0.0,0.0755,0.696,160.066,4.0,k-pop,stray kids,domino
XXXTENTACION - YuNg BrAtZ,2,,117,,892573,1510825,XXXTENTACION,YuNg BrAtZ,xxxtentacion,yung bratz,33026.0,2ooF4088y5L72c4YTEJQoB,XXXTENTACION,Revenge,YuNg BrAtZ,76.0,101851.0,True,0.755,0.695,9.0,-5.963,1.0,0.26,0.0179,0.0,0.107,0.493,128.063,4.0,emo,xxxtentacion,yung bratz
Nelly Furtado - Maneater,1,,151,,1501668,1501668,Nelly Furtado,Maneater,nelly furtado,maneater,67501.0,6IpiaVfJdeoGZInxYGt1X3,Nelly Furtado,Happy Haunted Halloween Tunes,Maneater,1.0,265426.0,False,0.799,0.721,6.0,-5.222,1.0,0.0508,0.0214,0.000341,0.335,0.66,132.763,4.0,latin,nelly furtado,maneater
j-hope - What if…,1,,64,,1471954,1471954,j-hope,What if…,j-hope,what if…,65683.0,1fNwwml8UcKvhfM6YEVIRh,j-hope,Jack In The Box,What if…,67.0,136063.0,False,0.694,0.75,0.0,-4.16,1.0,0.0338,0.00421,0.000553,0.0683,0.184,96.654,4.0,k-pop,j-hope,what if…
j-hope - Safety Zone,1,,65,,1471444,1471444,j-hope,Safety Zone,j-hope,safety zone,65623.0,00I41xsW6SunZDJ5fB8KAd,j-hope,Jack In The Box,Safety Zone,68.0,165340.0,False,0.676,0.742,8.0,-5.017,1.0,0.162,0.561,0.0,0.155,0.694,77.071,4.0,k-pop,j-hope,safety zone
The 1975 - It's Not Living (If It's Not With You),2,,146,,816694,1463484,The 1975,It's Not Living (If It's Not With You),the 1975,it's not living (if it's not with you),2307.0,3TgMcrV32NUKjEG2ujn9eh,The 1975,A Brief Inquiry Into Online Relationships,It's Not Living (If It's Not With You),73.0,248335.0,False,0.618,0.837,1.0,-5.338,1.0,0.0304,0.000254,0.000378,0.0618,0.526,121.227,4.0,alt-rock,the 1975,it's not living (if it's not with you)
Lil Baby - All In,2,,133,,796456,1460726,Lil Baby,All In,lil baby,all in,51142.0,038oBXqL9ttCHHZmNrYxQk,Lil Baby,Bad Boy Club,All In,0.0,156032.0,True,0.836,0.649,11.0,-6.442,1.0,0.332,0.0716,0.0,0.0943,0.294,95.084,4.0,hip-hop,lil baby,all in
ENHYPEN - Drunk-Dazed,2,,159,,757397,1447039,ENHYPEN,Drunk-Dazed,enhypen,drunk-dazed,5027.0,1wcr8DjnN59Awev8nnKpQ4,ENHYPEN,BORDER : CARNIVAL,Drunk-Dazed,75.0,193260.0,False,0.599,0.869,5.0,-5.174,0.0,0.0618,0.000707,0.0,0.0911,0.453,132.889,4.0,anime,enhypen,drunk-dazed
Bill Withers - Lean on Me,2,,141,,740049,1440768,Bill Withers,Lean on Me,bill withers,lean on me,103989.0,3M8FzayQWtkvOhqMn2V4T2,Bill Withers,Still Bill,Lean on Me,70.0,258834.0,False,0.619,0.22,0.0,-13.843,1.0,0.0672,0.782,1.19e-05,0.124,0.426,75.143,4.0,soul,bill withers,lean on me
3 Doors Down - Here Without You,1,,156,,1434264,1434264,3 Doors Down,Here Without You,3 doors down,here without you,2118.0,2Lkn3Of9JHY6RSA8c3omKT,3 Doors Down,Обратно в клас - rock,Here Without You,0.0,238560.0,False,0.556,0.545,10.0,-6.768,0.0,0.0255,0.0635,0.0,0.124,0.193,143.991,4.0,alt-rock,3 doors down,here without you
3 Doors Down - Kryptonite,1,,157,,1432411,1432411,3 Doors Down,Kryptonite,3 doors down,kryptonite,2120.0,5ugV3rhvi2h6l52e1cIfLw,3 Doors Down,Fishing Music,Kryptonite,0.0,234626.0,False,0.544,0.848,11.0,-6.804,0.0,0.0288,0.00395,5.22e-05,0.134,0.489,99.039,4.0,alt-rock,3 doors down,kryptonite
Lizzo - Special,1,,103,,1417842,1417842,Lizzo,Special,lizzo,special,51840.0,57gHJpELHEZjwbgnkAV90t,Lizzo,The Look - R&B Feels,Special,0.0,174398.0,True,0.517,0.707,7.0,-5.474,1.0,0.0693,0.0164,0.0,0.453,0.264,82.859,4.0,hip-hop,lizzo,special
j-hope - Future,1,,72,,1388177,1388177,j-hope,Future,j-hope,future,65676.0,0Puudh380z6cOCgMaTNm7h,j-hope,Jack In The Box,Future,68.0,139308.0,False,0.717,0.822,6.0,-5.249,1.0,0.0879,0.0652,0.0,0.36,0.764,102.042,4.0,k-pop,j-hope,future
j-hope - Intro,1,,76,,1361668,1361668,j-hope,Intro,j-hope,intro,65837.0,0M7ai1yfYyb4OlyRgdmtTK,j-hope,Jack In The Box,Intro,65.0,58871.0,False,0.607,0.355,5.0,-14.867,1.0,0.828,0.948,0.000281,0.706,0.964,125.308,4.0,k-pop,j-hope,intro
Tom Petty - I Won't Back Down,2,,82,,883222,1358898,Tom Petty,I Won't Back Down,tom petty,i won't back down,91844.0,0Jy4ifTBtXaLNct9rhzy31,Tom Petty,Fishing Music,I Won't Back Down,1.0,175373.0,False,0.765,0.63,7.0,-9.751,1.0,0.0304,0.0467,3.06e-05,0.223,0.963,113.967,4.0,rock,tom petty,i won't back down
Arctic Monkeys - Jet Skis On The Moat,1,,107,,1353830,1353830,Arctic Monkeys,Jet Skis On The Moat,arctic monkeys,jet skis on the moat,57646.0,2HReNSxrMRcJ0cYMzKAJK6,Arctic Monkeys,The Car,Jet Skis On The Moat,0.0,197576.0,False,0.651,0.244,7.0,-11.925,1.0,0.0544,0.856,0.00165,0.0895,0.395,149.759,3.0,indie,arctic monkeys,jet skis on the moat
Tina Turner - Proud Mary,1,,131,,1348159,1348159,Tina Turner,Proud Mary,tina turner,proud mary,25808.0,6gJdDnF2TzfA1WPMXuCa3x,Tina Turner,What's Love Got to Do with It?,Proud Mary,67.0,327400.0,False,0.397,0.499,2.0,-10.972,1.0,0.0685,0.0766,1.55e-06,0.111,0.367,171.067,4.0,disco,tina turner,proud mary
Ozzy Osbourne - Dreamer,1,,151,,1344567,1344567,Ozzy Osbourne,Dreamer,ozzy osbourne,dreamer,47254.0,78PKCefXwDLbl4FVO1Pjzh,Ozzy Osbourne,Down To Earth,Dreamer,63.0,284906.0,False,0.493,0.636,1.0,-7.408,1.0,0.0256,0.0629,2.49e-06,0.0921,0.279,79.419,4.0,hard-rock,ozzy osbourne,dreamer
The Chemical Brothers - Go,1,,189,,1341577,1341577,The Chemical Brothers,Go,the chemical brothers,go,3827.0,4tcoy9e3wbgGlXDXusZEra,The Chemical Brothers,Halloween Hits,Go,1.0,260696.0,True,0.751,0.897,1.0,-3.602,1.0,0.0468,0.00957,2.72e-05,0.329,0.483,119.97,4.0,alternative,the chemical brothers,go
Jarabe De Palo - La flaca,2,,162,,667141,1291984,Jarabe De Palo,La flaca,jarabe de palo,la flaca,104301.0,2LsbizbOeNa4x6qsi2jAMb,Jarabe De Palo,La Flaca,La flaca,76.0,261200.0,False,0.871,0.481,7.0,-9.068,1.0,0.0383,0.52,5.54e-05,0.0809,0.664,103.063,4.0,spanish,jarabe de palo,la flaca
